id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45845647,Alohause | Casa Gaudí Room | Duplex | Plz.Es,204662752,Tania & Gonzalo,Sants-Montjuïc,la Font de la Guatlla,41.37037,2.14324,Private room,28,30,0,,,36,253,0,
45848719,Lovely apartment in the heart of Barcelona❤️,14526942,Manuel,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38228,2.18369,Entire home/apt,55,32,0,,,1,338,0,
45856140,BE BARCELONA ARCO DEL TRIUNFO SUNNY COLORS 2,40676061,Be Barcelona,Eixample,el Fort Pienc,41.39775,2.18024,Entire home/apt,114,1,8,2021-07-27,3.12,19,114,8,HUTB-004805
45857969,POP ART APARTMENT IN BARCELONA,367991668,BCNTown Group,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38369,2.1822,Entire home/apt,55,7,0,,,2,0,0,HUTB-052247
45858173,Modern 2 bedroom apartment near Poble Sec,130223809,Daiga,Sants-Montjuïc,el Poble Sec,41.37272,2.15961,Entire home/apt,30,32,0,,,35,145,0,
45871314,Double Luxury Penthouse,61360206,Carles,Eixample,la Dreta de l'Eixample,41.39155,2.17623,Entire home/apt,920,2,1,2021-08-30,1,7,131,1,HUTB-387847
45872838,BE BARCELONA ARCO DEL TRIUNFO SUNNY COLORS,40676061,Be Barcelona,Eixample,el Fort Pienc,41.39983,2.18018,Entire home/apt,155,1,11,2021-08-18,1.17,19,19,11,HUTB-001714
45872840,"Barcelona , steps from paseo de Gracia",14262872,Andra,Gràcia,la Vila de Gràcia,41.40095,2.15957,Entire home/apt,95,3,3,2021-04-07,0.34,3,10,3,HUTB-004535
45875471,Bordeus II,247570318,Home Club,Les Corts,les Corts,41.38794,2.14043,Entire home/apt,83,32,0,,,8,360,0,
45876372,4 BED MIXED DORM (PRIVATE) Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,129,1,1,2021-08-03,0.75,15,284,1,AJ000593
45885947,Amazing Room for 3 in Barcelona,372002432,Andres,Ciutat Vella,el Raval,41.37842,2.17036,Private room,40,2,0,,,1,0,0,Exempt
